Game,Ticket Price,Top Prize,Top Prizes Remaining,Top Prize Numeric,Value Score
$20 MONOPOLY&trade; SECRET VAULT,20,"$5,000,000.00",2,5000000,0.1
THE PERFECT GIFT,20,"$5,000,000.00",2,5000000,0.1
TRIPLE JACKPOT,10,"$2,000,000.00",1,2000000,0.1
$15MM GOLD RUSH MULTIPLIER,30,"$15,000,000.00",2,15000000,0.06666666666666667
FLORIDA 300X THE CASH,30,"$15,000,000.00",2,15000000,0.06666666666666667
$5MM TRIPLE MATCH,20,"$5,000,000.00",1,5000000,0.05
GOLD RUSH LIMITED,20,"$5,000,000.00",1,5000000,0.05
$25MM GOLD RUSH MULTIPLIER,50,"$25,000,000.00",2,25000000,0.04
500X THE CASH,50,"$25,000,000.00",1,25000000,0.02
$5M CROSSWORD CASH,20,"$5,000,000.00",0,5000000,0.0
50X THE CASH,5,"$1,000,000.00",0,1000000,0.0
$2MM 100X CASHWORD,10,"$2,000,000.00",0,2000000,0.0
